query_id	query	doc_id	audio_filename	summary_type	audio_summary_filename	rank
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	1dcec3da32a806e23dc1c7fb92808ab1	20141128-twt03-childdetentionlive	audio_manual	audio_manual/1_1dcec3da32a806e23dc1c7fb92808ab1_20141128-twt03-childdetentionlive	1
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	f8d8a7f6b45151cb637a11c876044727	20150212-am02-morrison	audio_manual	audio_manual/1_1dcec3da32a806e23dc1c7fb92808ab1_20150212-am02-morrison	2
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	e0fbd62289cecb6eed2c7b51cde4f777	20150212-pm04-childrendetention	audio_manual	audio_manual/1_1dcec3da32a806e23dc1c7fb92808ab1_20150212-pm04-childrendetention	3
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	2b0b018508fae2130ddb3ebf675b08db	150320-pm05-mossreview	audio_manual	audio_manual/1_1dcec3da32a806e23dc1c7fb92808ab1_150320-pm05-mossreview	4
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	62fde5590b79c0e253a43949a0245753	20150224-eam02-childrenindetention	audio_manual	audio_manual/1_1dcec3da32a806e23dc1c7fb92808ab1_20150224-eam02-childrenindetention	5
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	cc32eb4316f84a73f4da4caa12fe4783	20150325-pm02-nauruinquiry	audio_manual	audio_manual/1_1dcec3da32a806e23dc1c7fb92808ab1_20150325-pm02-nauruinquiry	6
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	9f008f4164a7857ef788c24d4ec91a36	20150212-eam01-kidsdetention	audio_manual	audio_manual/1_1dcec3da32a806e23dc1c7fb92808ab1_20150212-eam01-kidsdetention	7
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	70ac5db2126dd9f89ab18e7539a73b22	20141111-twt02-detentionteam	audio_manual	audio_manual/1_1dcec3da32a806e23dc1c7fb92808ab1_20141111-twt02-detentionteam	8
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	f5868fb358f8e0c1fed9e32374f7bbe4	20141003-twt01-nauruallegations	audio_manual	audio_manual/1_1dcec3da32a806e23dc1c7fb92808ab1_20141003-twt01-nauruallegations	9
1_1dcec3da32a806e23dc1c7fb92808ab1	Children in immigration detention centers australia	49a8c6025a77d0a8accac0e8677219a9	20150212-twt04-nauruchildren	audio_manual	audio_manual/1_1dcec3da32a806e23dc1c7fb92808ab1_20150212-twt04-nauruchildren	10
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	4688d506eea6bfac8b54572c9ec02149	20141029-eam03-koalarescue	audio_manual	audio_manual/1_1f3c8f2a57677551eadb2a62706e768a_20141029-eam03-koalarescue	1
1_1f3c8f2a57677551eadb2a62706e768a	Inflamatory deseases university of queensland treatment breakthrough	1f3c8f2a57677551eadb2a62706e768a	20150217-am09-qldresearch	audio_manual	audio_manual/1_1f3c8f2a57677551eadb2a62706e768a_20150217-am09-qldresearch	2
